cID,Language_type,cOPN,cCON,cEXT,cAGR,cNEU,cSkillScore,cLanUsageScore
C00001,Java,1,0,0,1,0,25,65
C00002,Java,1,0,0,1,1,25,25
C00003,Java,1,0,0,1,0,50,50
C00004,Java,1,0,1,1,1,75,76
C00005,Java,1,0,1,1,0,35,35
C00006,Java,1,0,1,1,0,35,35
C00007,Java,1,1,1,0,1,70,71
C00008,Java,1,1,1,0,0,52,52
C00009,Java,1,1,0,0,1,11,12
C00010,Java,0,1,1,0,1,65,66
C00011,Java,1,1,1,0,0,78,78
C00012,Python,1,1,0,0,1,32,33
C00013,Python,0,0,1,0,1,35,36
C00014,Python,0,1,1,1,0,15,54
C00015,Python,1,1,0,1,0,55,32
C00016,Python,0,0,1,1,0,10,12
C00017,Python,0,1,1,1,0,21,45
C00018,Python,1,1,0,1,0,31,31
C00019,Python,0,0,0,1,0,35,25
C00020,Python,1,1,1,1,0,14,25
C00021,React,0,0,1,0,0,35,35
C00022,React,1,1,0,0,0,45,45
C00023,React,1,0,1,0,0,70,70
C00024,React,1,0,0,0,0,59,59
C00025,React,1,0,1,1,0,59,59
C00026,React,1,1,1,0,0,52,63
C00027,React,0,0,0,1,0,15,15
C00028,React,1,1,1,1,1,64,45
C00029,React,1,1,1,0,1,12,13
C00030,Python,0,0,1,1,1,75,32
C00031,Python,1,0,0,0,1,32,36
C00032,Python,1,1,1,1,1,62,14
C00033,Python,0,0,1,1,0,75,45
C00034,React,1,1,0,1,0,86,56
C00035,React,1,0,1,0,0,95,29
C00036,Java,0,1,0,1,0,25,78
C00037,React,1,1,0,1,0,10,73
C00038,Python,0,0,0,0,1,35,26
C00039,Java,1,1,1,1,1,32,47
C00040,React,0,1,1,0,0,12,75
C00041,Python,1,0,0,1,0,24,76
C00042,React,1,0,1,0,0,61,12
C00043,Java,0,0,0,1,0,95,15
C00044,Java,1,0,1,0,0,98,36
C00045,Java,0,0,1,1,1,97,27
C00046,Java,1,0,1,0,0,21,51
C00047,Python,1,0,0,1,1,45,63
C00048,Python,1,0,1,1,0,70,78
C00049,Python,0,1,0,1,1,32,35
C00050,Python,1,0,0,1,0,25,25
C00051,Python,1,1,1,0,1,45,56
C00052,React,0,0,0,1,1,77,11
C00053,Java,0,1,1,1,1,55,22
C00054,Python,1,0,0,0,1,23,66
C00055,React,1,1,1,1,0,22,64
C00056,Java,0,0,0,1,0,9,45
C00057,React,1,1,0,1,0,26,47
C00058,React,1,0,0,0,0,54,26
C00059,React,1,0,0,1,0,12,21
C00060,React,1,1,1,0,0,62,26
C00061,Java,0,0,1,1,0,53,58
C00062,Java,1,1,1,0,0,36,59
C00063,Python,1,0,0,1,0,56,18
C00064,Python,1,0,0,1,0,39,48
C00065,Python,1,1,1,0,0,41,47
C00066,React,1,1,0,1,0,32,65
C00067,Python,1,0,1,0,0,36,52
C00068,Python,1,1,1,1,1,39,26
C00069,Python,1,1,0,1,1,37,69
C00070,Java,1,0,1,0,1,57,32
C00071,Java,1,1,0,1,1,53,25
C00072,Java,1,0,1,1,1,59,58
C00073,Java,0,0,0,0,1,60,85
C00074,Java,1,0,1,1,0,62,78
C00075,Java,1,1,0,1,1,68,85
C00076,Java,0,1,0,1,1,54,86
C00077,Java,1,0,1,0,0,54,84
C00078,Java,0,1,1,1,1,51,81
C00079,Java,1,1,0,0,0,55,36
C00080,Java,1,1,1,1,1,33,6
C00081,React,0,0,1,0,1,36,7
C00082,Java,0,1,1,0,0,66,85
C00083,Java,1,0,1,0,1,99,9
C00084,Java,1,1,0,1,1,47,24
C00085,Java,0,0,1,1,1,17,14
C00086,Python,1,1,0,0,0,29,36
C00087,Java,0,1,0,0,1,26,95
C00088,Java,1,0,1,1,0,45,97
C00089,React,0,1,1,1,0,85,90
C00090,React,1,1,1,0,0,78,19
C00091,React,0,0,1,1,0,65,75
C00092,React,1,1,1,1,0,13,35
C00093,Python,0,0,0,0,0,25,29
C00094,Java,0,0,1,0,0,14,17
C00095,Python,0,1,0,1,0,65,26
C00096,React,0,1,1,1,0,23,34
C00097,React,0,0,1,0,0,21,17
C00098,Java,0,1,0,1,0,20,39
C00099,Python,1,1,1,1,0,90,95
C00100,React,1,0,0,1,1,29,24
C00101,Java,1,1,0,1,0,65,21
